園名,住所,倍率,倍率帯,種別,0歳児定員,申込数,総定員,職員数,駐車場,開園時間,電話,保育方針,えんさがしサポート,公式サイト
アスク大倉山保育園,神奈川県横浜市港北区大倉山４－１－１ＢＲＯＴＥ大倉山１階,6.83,3 6.0〜9.0倍(激戦),保育園,6,41,90,,なし,平日 7:00-21:00 / 土曜 7:00-19:00,045-549-5282,園内は明るく広々としており、元気いっぱいのびのび過ごせます。思い出に残る保育園。,https://enmikke.jp/parental/yokohama/facility/detail/1910/,https://www.nihonhoiku.co.jp/blog/okurayama/
大豆戸どろんこ保育園,神奈川県横浜市港北区大豆戸町943,6.83,3 6.0〜9.0倍(激戦),不明,6,41,,,なし,7:00-20:00,045-710-0906,,https://enmikke.jp/parental/yokohama/facility/detail/2420/,https://www.doronko.jp/facilities/doronko-mamedo/
キッズパートナー大倉山,神奈川県横浜市港北区大豆戸町113-1,7.00,3 6.0〜9.0倍(激戦),小規模保育園,2,14,19,8,なし,7:00-19:00,045-531-0220,みらいの元気を担っていくのは子どもたち。一緒にみらいの元気を創造していきます。,https://enmikke.jp/parental/yokohama/facility/detail/2438/,https://www.care-partner.com/
聖保育園第二,神奈川県横浜市港北区大倉山1-11-8,7.17,3 6.0〜9.0倍(激戦),保育園,6,43,46,,なし,,045-542-7375,保育所保育指針を柱としたバランスの良い保育。子供のことを第一に考え、地域のニーズに合った保育。,https://enmikke.jp/parental/yokohama/facility/detail/2410/,http://www.hijirihoikuen-daini.com/
ぶれすと綱島二階ほいくえん,神奈川県横浜市港北区樽町2-3-1ｰ2階,7.67,3 6.0〜9.0倍(激戦),保育園,3,23,50,,なし,7:00-19:00,045-718-6107,まなびがあそび、あそびがまなび。子どもたちの心豊かな成長をあそびの中で育成します。,https://enmikke.jp/parental/yokohama/facility/detail/3114/,https://hoikuen.brest.co.jp/tsunashima-nikai/
聖愛クロス保育園きくな,神奈川県横浜市港北区大豆戸町217-1,8.33,3 6.0〜9.0倍(激戦),小規模保育園,3,25,19,15,なし,7:30-19:30,045-438-3162,生活者としての主体性を重んじ、心身共に健やかな子どもを育てる。,https://enmikke.jp/parental/yokohama/facility/detail/2454/,https://www.occ.ed.jp/kikuna/
明日葉保育園大倉山園,神奈川県横浜市港北区大倉山1-15-21,8.67,3 6.0〜9.0倍(激戦),保育園,6,52,60,,なし,,045-642-3561,子どもの明日を育み、今日を支える。子どもが毎日を豊かにすごせる保育。,https://enmikke.jp/parental/yokohama/facility/detail/2411/,https://www.ashita-ba.jp/hoiku/ookurayama/
ぶれすと綱島ほいくえん,神奈川県横浜市港北区樽町2-3-1,8.67,3 6.0〜9.0倍(激戦),保育園,3,26,60,,なし,7:00-19:00,045-834-8766,将来飛び出していく子どもたちに違いを誇ることができる心を育むことを保育方針としています。,https://enmikke.jp/parental/yokohama/facility/detail/2422/,https://hoikuen.brest.co.jp/tsunashima-nikai/
うみのくに保育園きくな,神奈川県横浜市港北区菊名7-5-36,8.67,3 6.0〜9.0倍(激戦),保育園,6,52,60,29,なし,7:00-21:30,045-717-5120,寄り添う保育とつながる保育を大切にしています。,https://enmikke.jp/parental/yokohama/facility/detail/2369/,https://soranohane.com/kikuna.html
まめどくれっしゅ,神奈川県横浜市港北区大豆戸町40-3,9.00,4 9.0倍以上(超激戦),不明,3,27,,,なし,7:00-20:00,045-545-5002,,https://enmikke.jp/parental/yokohama/facility/detail/2418/,https://www.doronko.jp/facilities/mamedokuresshu/
ララランド大倉山,神奈川県横浜市港北区大倉山1丁目10番12号,9.33,4 9.0倍以上(超激戦),保育園,3,28,50,15,なし,平日 7:00-20:00 / 土曜 7:30-18:30,045-642-7623,自分の未来を創造できる子どもに 安心感の中で穏やかで安定した子ども,https://enmikke.jp/parental/yokohama/facility/detail/2409/,https://la-la-land.co.jp/
グローバルキッズ大倉山園,神奈川県横浜市港北区大倉山3-58-1,9.67,4 9.0倍以上(超激戦),保育園,3,29,72,,なし,平日 7:30-20:30 / 土曜 7:30-18:30,045-947-3320,,https://enmikke.jp/parental/yokohama/facility/detail/2024/,https://www.gkids.co.jp/facilities/nursery_173.html
おおくらやまえきまえのぞみ保育園,神奈川県横浜市港北区大倉山３丁目５−１６,10.00,4 9.0倍以上(超激戦),保育園,6,60,70,18,なし,平日 7:00-20:00 / 土曜 7:00-18:30,045-717-6660,あたたかい見守りの中で心地よく過ごせる環境を提供していく。ひとりひとりの良さを伸ばせるように。,https://enmikke.jp/parental/yokohama/facility/detail/3086/,https://shkb.org/ookurayamaekimae/
光の園保育園,神奈川県横浜市港北区篠原北2-4-9,10.33,4 9.0倍以上(超激戦),不明,6,62,,,なし,7:00-20:00,045-423-6755,,https://enmikke.jp/parental/yokohama/facility/detail/2393/,https://www.aunty-i.com/hikarinosono.html
パレット保育園・妙蓮寺,神奈川県横浜市港北区仲手原1-18-13,11.00,4 9.0倍以上(超激戦),保育園,3,33,50,,なし,平日 7:00-20:00 / 土曜 7:00-18:00,045-710-0149,,https://enmikke.jp/parental/yokohama/facility/detail/2423/,https://p-hoiku.com/
光の園第二保育園,神奈川県横浜市港北区菊名6-15-14,11.33,4 9.0倍以上(超激戦),不明,6,68,,,なし,平日 7:30-18:30 / 土曜 7:00-18:00,045-401-8020,,https://enmikke.jp/parental/yokohama/facility/detail/2368/,https://www.aunty-i.com/hikarinosono.html
まなびの森 菊名こども園,神奈川県横浜市港北区錦が丘19-18,13.67,4 9.0倍以上(超激戦),保育園,3,41,60,,なし,平日 7:00-20:00 / 土曜 7:30-18:30,045-947-2020,,https://enmikke.jp/parental/yokohama/facility/detail/2371/,http://kodomonomori.co.jp/ki/
スターチャイルド大倉山ナーサリー,神奈川県横浜市港北区師岡町1184-1,,5 データなし,不明,,,,,,,,,,
